year,direction,family,state,Trades,TP1,TP1_rate,Loss,Full_Stop,Avg_R,Net
2024,ALL,transition,NO_BASE_BREAKOUT,2,0,0.0,2,2,-1.1340800771279995,-23.686375245941658
2024,ALL,transition,SPIKE_BREAKOUT,34,9,26.47058823529412,25,25,-0.04900871805149566,-22.14280682299956
2024,ALL,transition,WEAK_TRANSITION,8,3,37.5,5,4,0.8047389340514911,63.37485517614793
2024,ALL,entry_mode,均線假跌破站回,6,2,33.33333333333333,4,4,0.2997465382961512,14.951910304688996
2024,ALL,entry_mode,均線假跌破站回_延後一根確認,1,1,100.0,0,0,1.9332517055479257,19.54348120700716
2024,ALL,entry_mode,壓縮早突破,38,10,26.31578947368421,28,27,0.08959606928950468,30.536849583289936
COMBINED,LONG,compression,EXPANDING_ALREADY,24,6,25.0,18,18,-0.06817490300957402,-15.686272182252871
COMBINED,LONG,compression,MILD_COMPRESSION,65,16,24.615384615384617,49,47,0.018706967901731947,4.208289621458363
COMBINED,LONG,compression,NO_COMPRESSION,2,0,0.0,2,2,-1.152388566480422,-22.951585243114025
COMBINED,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,3,0,0.0,3,3,-1.1077348343026776,-34.029028586297855
COMBINED,LONG,volume_state,FLAT,25,9,36.0,16,14,0.745817478170523,177.03738272710746
COMBINED,LONG,volume_state,HEALTHY_BUILD,1,1,100.0,0,0,4.632926663920932,47.486567987779374
COMBINED,LONG,volume_state,SUDDEN_SPIKE_ONLY,62,12,19.35483870967742,50,50,-0.36580937107829076,-224.9244899324975
COMBINED,LONG,quality,CLEAN_EXPANSION,46,15,32.608695652173914,31,29,0.4217873973287375,182.59913039460992
COMBINED,LONG,quality,WEAK_BREAK,45,7,15.555555555555555,38,38,-0.4917164926377772,-217.02869819851847
COMBINED,LONG,transition,HEALTHY_TRANSITION,1,1,100.0,0,0,4.632926663920932,47.486567987779374
COMBINED,LONG,transition,NO_BASE_BREAKOUT,2,0,0.0,2,2,-1.1340800771279995,-23.686375245941658
COMBINED,LONG,transition,SPIKE_BREAKOUT,79,17,21.518987341772153,62,61,-0.20461475759541317,-167.96614409812102
COMBINED,LONG,transition,WEAK_TRANSITION,9,4,44.44444444444444,5,4,1.2305308276438511,109.73638355237472
COMBINED,LONG,entry_mode,均線假跌破站回,13,2,15.384615384615385,11,10,-0.38790599077937454,-50.512257086451854
COMBINED,LONG,entry_mode,均線假跌破站回_延後一根確認,1,1,100.0,0,0,1.9332517055479257,19.54348120700716
COMBINED,LONG,entry_mode,壓縮早突破,77,19,24.675324675324674,58,57,0.0049935621169597075,-3.4607919244638894
